Model,Recall,Precision,F1 Score,Accuracy
Logistic Regression,0.0,0.0,0.0,99.87269395311993
Decision Tree,0.8858024691358025,0.8819913952059004,0.883892824145365,99.97037383970753
Gaussian NB,0.7759259259259259,0.011265156878736008,0.022207892016996016,91.30161788697109
Bernoulli NB,0.0006172839506172839,1.0,0.0012338062924120913,99.8727725370995
Random Forest,0.8364197530864198,0.9861717612809315,0.9051436205744823,99.97768214980621
